Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRC24,OUT035,2206.49449
FDW21,OUT018,1757.3791
NCH29,OUT046,2375.14163
FDU58,OUT013,2548.51595
FDY27,OUT017,2595.1885300000004
FDV56,OUT035,2020.1037800000001
FDT59,OUT046,3475.7090300000004
FDB23,OUT046,3229.62935
FDR49,OUT045,1238.82077
FDB03,OUT010,443.48938
FDN39,OUT045,2515.69201
FDX02,OUT027,4217.9095800000005
FDQ16,OUT027,2315.05318
FDU35,OUT018,2061.3167999999996
NCT29,OUT013,1600.71636
FDZ27,OUT046,1486.13218
FDN57,OUT017,2491.12399
FDA03,OUT018,2263.81987
FDZ36,OUT045,2568.0571800000002
NCU05,OUT013,1481.37171
FDT39,OUT018,2425.30966
FDK60,OUT017,1895.73234
FDZ25,OUT017,2465.69043
FDG12,OUT046,1835.41086
DRB01,OUT019,411.76401000000004
NCC43,OUT027,5533.097609999999
FDX13,OUT019,484.26963000000006
FDM22,OUT049,1435.53138
FDJ03,OUT027,3045.33591
FDU14,OUT018,2552.74378
FDB33,OUT010,341.25579
FDP27,OUT046,2355.2675
FDO38,OUT010,232.86355000000003
FDE28,OUT027,4266.746010000001
FDO27,OUT035,2002.8928500000006
DRL23,OUT027,2877.75405
FDS28,OUT046,1873.7609399999997
FDX24,OUT013,1873.8941
FDZ02,OUT035,2782.11188
FDL46,OUT045,1925.7932099999998
FDS60,OUT027,3221.2069800000004
NCO06,OUT017,1076.6651799999997
FDO16,OUT035,2301.3709900000003
FDC60,OUT049,2506.3042300000006
FDA48,OUT018,2002.65982
FDZ36,OUT027,3928.586190000001
FDK27,OUT045,2057.2221299999997
FDW23,OUT018,1649.9522700000002
FDM14,OUT018,1715.3005399999997
FDM14,OUT013,2634.5373100000006
FDW60,OUT018,2120.87261
FDE21,OUT013,1758.9770199999998
NCM42,OUT035,2118.2759899999996
FDY59,OUT010,279.86902999999995
DRI49,OUT049,2126.4986200000003
FDT28,OUT019,291.98659
FDQ22,OUT018,1751.054
FDR60,OUT049,1545.12206
FDC50,OUT019,385.1320099999999
FDV24,OUT013,2067.77506
DRF48,OUT010,392.05633
FDQ47,OUT046,1934.68164
DRN36,OUT049,1630.2113000000002
NCY06,OUT035,2859.9106100000004
FDE52,OUT035,2806.64661
NCB54,OUT045,2146.0731399999995
NCF31,OUT035,2676.6491600000004
FDJ08,OUT027,4934.94289
NCC07,OUT017,1952.22547
NCD19,OUT027,1661.2042900000001
FDL46,OUT049,2187.6190600000004
FDM20,OUT045,2644.5575999999996
NCI06,OUT010,426.57806
DRM11,OUT035,2688.86659
NCH07,OUT018,2163.1509099999994
FDS23,OUT013,2302.1366599999997
FDO49,OUT018,943.0058300000001
FDS35,OUT049,1322.6782799999996
DRK39,OUT045,1298.8759300000002
DRI39,OUT049,1498.91554
FDV04,OUT017,2576.0467799999997
NCN14,OUT035,2654.7776299999996
FDH08,OUT013,2968.0698199999997
FDS20,OUT046,2453.00694
FDV40,OUT049,1628.0807399999999
FDZ48,OUT010,298.14524
FDS24,OUT027,3600.2136300000006
FDK44,OUT049,3161.85091
FDS48,OUT045,1883.4150399999999
FDK26,OUT010,289.15693999999996
FDD23,OUT045,2970.43341
NCH54,OUT017,2421.58118
NCP14,OUT010,233.96211999999997
FDM60,OUT010,236.69189999999998
FDV24,OUT017,2130.39355
FDH08,OUT018,2698.4874
FDS12,OUT027,3221.20698
FDR39,OUT027,4069.2364399999997
FDP12,OUT027,3600.2136300000006
DRF60,OUT027,3268.2790400000004
FDC09,OUT035,1909.7807200000002
FDF50,OUT018,2463.29355
FDG28,OUT035,3239.7828
NCE19,OUT017,1246.0447
NCM53,OUT010,369.05294
NCN18,OUT049,2275.40479
FDF32,OUT035,2776.3859999999995
FDF11,OUT013,3077.6937900000003
DRI59,OUT049,2493.52087
NCG54,OUT035,3097.0352799999996
FDM44,OUT046,1836.4428500000001
FDT57,OUT018,2659.6379699999998
FDV24,OUT046,2036.2494299999998
FDI50,OUT019,508.17185
FDS09,OUT035,1643.5605899999998
NCC31,OUT027,3746.1569900000004
FDQ07,OUT019,360.59727999999996
FDC22,OUT017,2723.98754
FDZ56,OUT046,1986.71391
FDZ40,OUT019,270.24822
FDS46,OUT027,3206.1266100000003
DRD24,OUT045,2024.3648999999998
FDV45,OUT017,3152.96248
FDL26,OUT045,2701.31705
FDA56,OUT018,2010.7492900000002
FDN27,OUT046,1692.69663
FDM20,OUT049,3153.9611799999993
FDO16,OUT017,1471.2515500000002
FDL03,OUT035,2587.99789
FDE58,OUT046,2474.41241
FDI02,OUT027,3125.3317799999995
NCC55,OUT019,260.3278
FDR03,OUT018,2447.8137
FDB14,OUT017,2216.24846
FDR45,OUT013,2869.53142
NCN07,OUT017,1838.3736700000002
FDM51,OUT019,397.94866
FDT52,OUT027,4301.03471
FDL26,OUT046,2444.11851
NCZ42,OUT046,2250.20426
DRI47,OUT019,363.95957
FDW40,OUT013,2443.51929
FDN34,OUT046,2018.4392799999998
FDS01,OUT035,2328.43576
NCG55,OUT045,2107.7230600000003
FDC11,OUT035,2128.26299
FDX35,OUT018,3002.9577400000003
NCB06,OUT046,2755.1469800000004
FDR09,OUT019,429.34112999999996
FDC53,OUT017,1464.6268400000001
FDY45,OUT013,2960.31325
FDA22,OUT010,384.23318
FDE02,OUT035,1766.4339800000002
FDW21,OUT045,1961.9461499999998
FDV34,OUT046,1306.1997299999998
FDS59,OUT049,2042.3415
NCW17,OUT017,2012.1807600000004
NCK54,OUT046,1850.7242600000002
FDG17,OUT019,372.58167999999995
FDG35,OUT017,2604.9092100000003
FDD08,OUT010,321.31507999999997
NCO07,OUT017,2676.21639
FDJ10,OUT010,494.09018
FDW36,OUT017,1613.2333999999998
FDW21,OUT010,239.22194
FDY19,OUT017,2027.8270599999996
DRE03,OUT013,1723.92265
NCC55,OUT049,1426.4765
FDH52,OUT010,294.4833400000001
FDO09,OUT017,4163.9132
FDU43,OUT045,3615.06097
FDX09,OUT010,363.8597
FDH40,OUT019,271.08047
FDW58,OUT017,1787.0737800000002
FDC47,OUT017,3858.9102200000007
NCR41,OUT035,1701.9845400000002
DRG49,OUT035,2444.2849599999995
FDC52,OUT027,3851.686289999999
FDY13,OUT046,2301.70389
FDY35,OUT013,1409.6317599999998
FDI35,OUT017,2711.1043099999997
NCU18,OUT049,2792.09888
FDY33,OUT018,2230.3301300000007
FDC15,OUT027,3862.73857
FDU01,OUT049,2253.16707
NCU42,OUT046,2003.5919399999998
NCV29,OUT018,1796.7611700000002
NCY30,OUT017,2974.52808
FDQ46,OUT049,2399.6430700000005
FDG58,OUT027,3585.2331299999996
FDK33,OUT017,3262.85277
NCD07,OUT045,1661.3374499999998
NCX29,OUT027,3357.79585
NCT42,OUT013,2403.7377399999996
DRN59,OUT035,1607.3077799999999
FDI44,OUT035,1654.1468099999997
FDA45,OUT049,2669.3919399999995
FDP31,OUT045,1469.4538899999998
FDY01,OUT046,2427.37364
FDT09,OUT018,1713.96894
DRH03,OUT027,3346.11106
FDA36,OUT018,1787.3401000000001
NCF31,OUT017,2642.09414
FDG14,OUT049,1956.5198800000003
FDG28,OUT027,4266.74601
FDU14,OUT049,2726.01823
FDY47,OUT019,284.42976000000004
FDI56,OUT049,2094.57351
DRD01,OUT013,1323.21092
FDM22,OUT046,1360.5955900000001
FDH33,OUT013,1760.1421699999999
DRZ24,OUT013,2560.76667
NCQ38,OUT046,1949.4291100000003
FDO16,OUT027,2315.05318
FDU07,OUT027,4559.631429999999
NCB07,OUT013,2785.3743
FDU48,OUT045,2002.7929800000002
NCM43,OUT045,2288.7207900000003
FDR31,OUT010,303.37177
DRK49,OUT018,2004.9568300000003
NCI30,OUT010,497.3526
DRD60,OUT017,2646.02236
NCG19,OUT046,2854.78395
FDH12,OUT035,1557.3062
FDM32,OUT035,1817.03478
FDM27,OUT035,2452.6407500000005
NCU53,OUT027,3933.8793000000005
NCQ18,OUT046,1888.7414399999998
FDS10,OUT013,3031.18766
FDB33,OUT027,4694.822119999999
FDI12,OUT013,1849.39266
NCW42,OUT013,2838.43856
NCC06,OUT018,1498.6825099999999
FDW02,OUT017,1836.9422
NCD43,OUT017,1563.49814
FDM57,OUT018,1297.8439400000002
FDA58,OUT017,3573.5816300000006
FDK56,OUT046,2453.00694
FDP52,OUT045,3325.504549999999
FDW20,OUT018,1997.4332900000002
FDS52,OUT049,1339.62289
NCT29,OUT018,1334.0967500000002
NCL54,OUT013,3278.03301
FDC05,OUT045,3149.0675499999998
FDF34,OUT035,2931.7837200000004
FDP03,OUT027,3513.52647
FDD32,OUT010,310.99518
FDZ10,OUT045,2004.89025
FDZ40,OUT035,1592.6934699999997
FDD51,OUT018,1479.3077299999998
NCY30,OUT019,315.98868000000004
FDP58,OUT017,3176.83141
FDV49,OUT017,3757.3424299999997
FDY24,OUT019,270.81415
NCO55,OUT017,2032.88714
FDR13,OUT017,1906.0189500000001
FDS51,OUT017,1755.7146
FDP26,OUT045,1771.7936700000002
NCB54,OUT027,3566.82376
FDF32,OUT017,3316.1833500000002
FDN31,OUT018,2472.8810700000004
DRM48,OUT017,1198.97264
FDN20,OUT049,2917.66876
DRL01,OUT046,3031.75359
FDV56,OUT049,2451.60876
DRH13,OUT027,3217.84469
FDA03,OUT017,2382.26569
FDF47,OUT027,5229.75913
FDX32,OUT046,2059.18624
FDX57,OUT049,1568.9577000000002
NCA30,OUT045,2550.6797999999994
FDO49,OUT013,1360.1961099999999
FDL04,OUT019,276.7730600000001
DRM48,OUT035,2048.1672500000004
FDR16,OUT013,2713.43461
NCC19,OUT018,2382.66517
NCE42,OUT045,3100.9634999999994
FDY24,OUT017,1365.98857
FDH19,OUT049,1852.1557300000004
FDJ46,OUT013,2640.69596
FDN45,OUT010,405.67193999999995
FDY08,OUT035,2011.3818000000003
FDZ37,OUT035,2156.09343
NCT30,OUT045,1959.04992
DRY23,OUT018,920.8014
NCZ30,OUT018,2042.0751799999998
FDC44,OUT018,1586.2685
FDB45,OUT035,2168.37744
FDY04,OUT013,2702.21588
FDM27,OUT046,2335.32679
FDZ43,OUT017,3733.1073100000003
FDT39,OUT019,398.44801
NCC06,OUT019,315.42275
FDL15,OUT027,3636.5996
FDL57,OUT017,4424.27429
FDU08,OUT046,1782.7460800000001
FDK40,OUT017,3427.27208
FDQ12,OUT010,453.5096699999999
FDS48,OUT017,1888.0756399999998
FDP09,OUT045,2974.7611100000004
FDW21,OUT049,1555.5418300000003
FDY25,OUT035,2328.4357600000008
DRE13,OUT017,1518.05729
FDV43,OUT019,349.24539
FDD22,OUT045,1721.6256399999997
FDM46,OUT019,363.7598300000001
NCO30,OUT010,428.67533000000003
FDM25,OUT046,2306.6641
NCN41,OUT049,2033.7526799999996
FDU24,OUT045,1572.8526299999999
FDZ50,OUT046,1966.07411
FDP45,OUT013,3299.3053199999995
NCM54,OUT045,2302.26982
FDW10,OUT019,418.25555999999995
FDP20,OUT017,2118.5756
FDK32,OUT046,2502.60904
FDN52,OUT049,1787.83945
FDM58,OUT045,2118.74205
FDZ46,OUT027,3329.4327700000003
NCA18,OUT018,1879.5534000000002
FDD35,OUT046,2300.10597
NCK31,OUT035,1548.5509299999999
FDI40,OUT027,2629.67697
FDT50,OUT019,345.41703999999993
NCT06,OUT046,2384.86231
FDT31,OUT035,2792.6648099999998
FDT45,OUT049,2230.6630300000006
FDT13,OUT045,2860.90931
FDO50,OUT045,1567.75926
NCU18,OUT010,313.82482999999996
NCR54,OUT049,3292.9802200000004
NCO18,OUT018,2225.3699199999996
FDU09,OUT045,1277.90323
FDT13,OUT018,2230.0971
FDE09,OUT046,1891.43793
NCK53,OUT019,391.02434000000005
FDG45,OUT049,2680.71054
DRH15,OUT035,2146.5392
FDO21,OUT019,278.60401
FDD14,OUT027,4414.78664
FDC09,OUT046,2090.4788399999998
FDH45,OUT027,3287.0878900000002
FDV32,OUT046,1674.2872600000003
FDG12,OUT035,1920.66655
FDS32,OUT013,2365.65398
NCL55,OUT018,2388.32447
DRE01,OUT035,2439.1583
DRE15,OUT049,1560.56862
NCL42,OUT045,3108.35388
FDP31,OUT013,2068.4408599999997
FDN33,OUT018,1614.565
FDZ59,OUT046,2215.1831800000004
FDE45,OUT010,341.25579000000005
FDJ07,OUT013,1782.5796299999997
FDQ45,OUT018,2496.9830300000003
FDM33,OUT027,5893.79476
FDO15,OUT010,431.8378799999999
FDM46,OUT013,2196.90697
FDR03,OUT045,2939.9064800000006
FDY49,OUT018,1728.3169299999997
FDQ60,OUT045,2256.92884
FDW10,OUT049,2720.7916999999998
FDO51,OUT049,2136.0195599999997
FDJ40,OUT018,1433.0013400000003
FDS20,OUT018,2642.9929700000002
FDU45,OUT013,2317.94941
FDV02,OUT035,2566.2928100000004
FDN09,OUT046,2842.93271
NCM55,OUT027,3925.5568000000007
FDN23,OUT018,2026.4954599999996
FDY31,OUT010,341.25579
FDW03,OUT010,440.16038
FDD14,OUT046,2444.1185100000007
FDV23,OUT017,1679.0477299999998
DRI03,OUT045,2615.9614900000006
FDN13,OUT035,1778.2186399999998
FDF45,OUT027,3054.1577600000005
FDU46,OUT035,1818.5994100000003
FDB57,OUT049,3342.04968
FDV12,OUT049,2506.3042300000006
FDQ58,OUT013,2430.6693499999997
NCA18,OUT017,1768.9640200000001
FDH52,OUT049,1717.9304499999998
FDM24,OUT018,1947.89777
NCP43,OUT027,3846.82595
NCO18,OUT019,324.17802000000006
FDM32,OUT017,2283.32781
NCL07,OUT017,1822.3611799999999
FDK03,OUT013,2365.05476
FDP59,OUT017,2506.80358
FDQ24,OUT049,1847.6615800000004
FDQ16,OUT018,1884.64677
FDU44,OUT013,2786.3730000000005
FDH28,OUT010,307.39986000000005
FDV28,OUT019,220.3798
FDM22,OUT045,1067.51043
FDR56,OUT046,2903.254189999999
FDV39,OUT049,1939.87488
FDU37,OUT019,367.48830999999996
FDQ11,OUT010,681.41301
FDX02,OUT045,3388.1563300000003
NCS42,OUT018,1766.9999099999998
FDY57,OUT027,2450.9762499999997
FDB21,OUT049,2950.2929599999998
FDE28,OUT017,3597.4838500000005
FDQ55,OUT017,2088.68118
FDA48,OUT049,1847.6615800000004
FDZ19,OUT045,2376.0737499999996
NCC43,OUT045,3756.6766300000004
NCV18,OUT046,1620.42404
NCA42,OUT018,2215.94885
FDY45,OUT046,2641.0288599999994
NCC30,OUT045,2990.6071500000007
FDM57,OUT013,1758.2113500000003
FDL09,OUT010,311.52782
FDB09,OUT027,3677.0802399999993
FDT44,OUT035,2012.9797199999998
NCT06,OUT027,4223.535590000001
FDX26,OUT049,2449.4449099999997
FDK32,OUT013,2417.2534800000003
DRA12,OUT046,1846.62959
FDO46,OUT010,284.69608000000005
FDE52,OUT013,1984.2171600000001
NCH42,OUT045,3937.27488
FDV08,OUT035,1329.53602
FDB47,OUT018,2279.96552
FDC28,OUT010,382.30236
FDD22,OUT046,2024.46477
FDS07,OUT027,3528.6401299999998
DRI13,OUT045,2541.0256999999997
FDG32,OUT018,2281.0973799999997
FDU14,OUT017,3636.99908
FDD28,OUT019,270.84744
NCP41,OUT017,1828.45325
FDS08,OUT049,2618.9908800000003
FDX47,OUT045,2745.4928800000007
FDC53,OUT019,289.15693999999996
FDQ19,OUT035,2550.31361
FDL14,OUT045,2600.1487399999996
FDM33,OUT019,423.01602999999994
FDA51,OUT045,1969.5362699999998
FDZ27,OUT018,1471.5844499999998
FDT04,OUT046,1350.2091099999998
DRC13,OUT049,1951.8925699999995
FDR16,OUT027,4266.74601
FDQ03,OUT027,3785.3060300000006
FDE38,OUT035,2297.14316
DRH23,OUT027,2391.38715
FDT11,OUT019,426.47819
FDD09,OUT035,2748.25595
FDR40,OUT045,1270.1466599999999
FDX07,OUT017,3200.73363
FDR07,OUT035,1954.9552500000002
FDA51,OUT017,2050.0647799999997
FDT59,OUT019,469.1559700000001
FDF20,OUT017,3093.2402200000006
FDR13,OUT045,1883.98097
FDY26,OUT049,2554.0088
FDW04,OUT017,1801.78796
FDK52,OUT017,3690.5293999999994
FDN60,OUT049,1847.66158
FDM09,OUT019,278.60401
FDP46,OUT049,2064.94541
FDB50,OUT019,407.70263
NCQ29,OUT049,2728.94775
FDP16,OUT027,4361.75567
FDX33,OUT018,2531.10528
FDP07,OUT010,390.25867000000005
FDN22,OUT046,2440.25687
FDF39,OUT049,2662.2345899999996
FDS21,OUT017,1542.29241
NCM42,OUT013,1799.75727
FDK50,OUT019,455.54035999999996
DRF13,OUT027,3201.36614
FDH35,OUT018,2125.76624
FDP60,OUT018,1730.6805200000003
DRJ49,OUT027,3201.3661399999996
NCT42,OUT019,292.18633000000005
FDE38,OUT049,1621.92209
FDI04,OUT049,3209.55548
NCH54,OUT045,3048.73149
FDT56,OUT049,2251.1030900000005
DRD15,OUT018,2685.9037799999996
FDV58,OUT013,2432.5002999999997
FDP21,OUT049,2446.78171
FDH05,OUT013,3114.97859
FDR10,OUT027,3973.62756
NCP06,OUT045,2456.60226
FDF33,OUT049,1450.9779400000002
DRK37,OUT013,2815.56833
DRH49,OUT045,1585.16993
FDT58,OUT013,2646.0889400000005
FDD41,OUT018,1656.5769799999998
FDP40,OUT018,1880.5853899999997
FDM51,OUT027,3443.21799
FDO45,OUT010,248.11036999999996
FDW33,OUT010,362.02875000000006
FDY24,OUT045,1347.6790700000001
FDB10,OUT010,429.10810000000004
FDM40,OUT035,2512.66262
NCI06,OUT017,3293.6793100000004
FDW12,OUT019,342.95358
FDX48,OUT027,3929.0522500000006
NCW05,OUT027,3077.7603700000004
FDX27,OUT017,2031.1560599999998
DRM37,OUT045,2644.49102
FDA38,OUT045,2957.88308
FDR36,OUT046,2001.8941499999996
FDZ45,OUT046,2782.21175
FDG05,OUT017,2638.1326299999996
FDK28,OUT013,2992.7377100000003
FDV47,OUT045,1664.6331599999999
FDN21,OUT045,2687.8678900000004
FDP20,OUT027,3920.696459999999
FDI35,OUT045,2787.20525
DRY23,OUT013,1363.59169
FDA56,OUT017,1636.8360100000002
FDB09,OUT013,1713.9689400000002
NCO26,OUT027,2887.30828
FDQ49,OUT018,2208.29215
FDI52,OUT027,2577.54483
FDZ44,OUT027,3719.4917
FDZ09,OUT018,2374.5091199999997
FDY03,OUT049,2322.11066
NCG42,OUT017,2354.36867
DRI13,OUT027,3268.2790400000004
FDQ32,OUT013,2247.04171
FDW16,OUT035,2100.09965
FDU27,OUT046,1886.5443
FDR28,OUT010,333.36606
FDQ49,OUT010,415.49249
FDS37,OUT046,2362.49143
FDW26,OUT018,2263.8198700000003
FDX12,OUT018,2294.21364
NCP06,OUT013,1876.45743
FDW45,OUT010,430.20667000000003
NCN30,OUT049,1991.9737299999997
FDN24,OUT049,1688.1359
NCL41,OUT027,2342.1179500000003
FDR02,OUT019,269.81544999999994
FDD09,OUT010,341.25578999999993
FDS33,OUT010,239.22194
FDU22,OUT045,2058.52044
FDI53,OUT013,2713.43461
DRH01,OUT049,2126.49862
FDX32,OUT013,2152.0986300000004
NCP30,OUT018,1149.43712
FDB60,OUT045,2519.18746
FDB14,OUT049,1857.78174
NCP02,OUT035,1998.7316000000003
FDJ10,OUT017,2048.69989
FDG34,OUT046,1570.5889100000002
NCB18,OUT017,1558.53793
FDM16,OUT049,1717.9304500000003
FDW25,OUT018,1905.8524999999997
FDB35,OUT010,236.15926000000005
DRN11,OUT013,2285.4916599999997
FDF41,OUT019,304.6035
FDH16,OUT045,1204.59865
NCQ50,OUT018,2686.0036499999997
DRH23,OUT018,1678.4817999999996
DRJ37,OUT013,2916.7699299999995
DRJ24,OUT027,3333.56073
FDY16,OUT035,3076.1624500000003
FDQ27,OUT045,2189.7496199999996
FDZ33,OUT045,2005.98882
FDF29,OUT045,2674.8182100000004
FDA08,OUT049,3428.8700000000003
FDG31,OUT046,1575.7155699999998
FDE34,OUT019,424.41421
NCR30,OUT027,1933.1170100000004
FDV33,OUT035,3173.3026700000005
DRZ24,OUT018,2036.4491699999999
NCL54,OUT035,3257.12689
FDR12,OUT049,2506.30423
NCC54,OUT046,3228.39762
DRN59,OUT013,2149.0359499999995
FDX50,OUT019,245.41388
FDV31,OUT027,4895.560819999999
NCA29,OUT027,4293.6776199999995
FDW60,OUT049,2506.30423
FDX08,OUT017,2726.75061
DRD49,OUT013,3195.24078
FDD33,OUT046,2545.0205
FDW35,OUT013,1543.62401
FDJ36,OUT017,1494.3548100000003
FDV51,OUT035,2726.9170599999998
FDW36,OUT046,1765.0357999999997
FDH35,OUT046,2656.90819
NCS30,OUT027,3248.7378099999996
FDN49,OUT017,1886.5110099999997
FDL08,OUT018,2852.91971
FDI09,OUT013,3644.156429999999
FDP19,OUT018,1529.94182
FDU21,OUT010,220.64611999999997
NCP41,OUT045,1725.38741
FDY10,OUT013,2264.48567
FDP12,OUT018,1936.7123299999998
NCN26,OUT049,2423.8449
FDK44,OUT013,2493.92035
FDC28,OUT049,1412.76102
FDJ41,OUT027,4361.75567
NCT29,OUT035,2324.37438
NCH42,OUT019,396.6170600000001
FDU60,OUT018,2244.47838
FDS02,OUT045,3488.9584500000005
FDC51,OUT046,2114.74725
FDU03,OUT013,2245.9431400000003
FDX39,OUT045,2920.16551
NCY05,OUT010,285.79465000000005
NCL06,OUT027,5657.202729999999
FDD32,OUT035,1963.7105199999999
NCN41,OUT045,1803.2194300000003
NCX53,OUT049,2087.3162899999998
FDU57,OUT019,278.60400999999996
FDQ23,OUT046,2356.16633
FDQ52,OUT045,4018.0364200000004
FDC14,OUT045,1509.13557
FDY09,OUT035,3705.3767399999997
FDQ28,OUT045,2855.5163300000004
FDV25,OUT046,3522.68122
FDJ07,OUT035,2048.10067
DRB25,OUT049,2126.4986200000003
FDK52,OUT019,333.99857000000003
FDY52,OUT027,2315.05318
FDB28,OUT046,2209.4240099999997
FDT36,OUT035,1540.1285599999999
FDV25,OUT017,3102.06207
NCN07,OUT027,3040.77518
FDC57,OUT017,3225.96745
FDQ03,OUT018,2424.8768899999995
FDU23,OUT017,2343.3829699999997
NCX41,OUT035,2952.32365
NCD06,OUT035,1635.60428
FDW08,OUT045,1996.80078
NCU29,OUT017,1831.8488300000004
NCE06,OUT013,2614.19712
FDV52,OUT010,307.16683
FDB02,OUT017,2831.3810799999997
NCR18,OUT045,1197.07511
FDK16,OUT049,1339.62289
NCQ29,OUT010,369.65216
FDZ01,OUT019,369.48571000000004
FDW27,OUT035,2269.31272
FDD17,OUT018,2684.03954
FDW39,OUT013,2250.1376800000003
DRH59,OUT045,1582.8729200000002
FDS52,OUT013,1554.4099700000002
FDU40,OUT027,4361.7556700000005
NCF54,OUT013,2568.6231099999995
FDH46,OUT045,1769.8295600000001
NCP14,OUT049,1678.2487699999997
FDH50,OUT049,2153.0307500000004
DRF15,OUT010,323.94498999999996
FDV27,OUT027,3443.21799
NCJ06,OUT049,2240.5834499999996
FDN02,OUT018,2357.36477
FDQ51,OUT049,2207.42661
FDQ07,OUT017,3904.51752
FDS45,OUT049,1782.3465999999996
NCJ06,OUT045,1933.31675
FDD36,OUT035,1575.48254
FDY25,OUT045,2468.2537599999996
FDU52,OUT046,2585.9006200000003
DRK47,OUT017,2709.6062599999996
NCL30,OUT017,2361.5926
FDN22,OUT035,3006.02042
NCF30,OUT027,3537.19566
FDK03,OUT035,3002.35852
FDT45,OUT017,1387.76023
NCC54,OUT027,4087.5792300000003
FDP08,OUT018,2651.1823099999992
FDU44,OUT046,2655.3768499999996
DRG39,OUT035,2027.0946799999997
FDU32,OUT049,2176.9329700000003
FDY27,OUT049,2506.93674
NCP54,OUT013,2007.98622
NCZ41,OUT049,1881.5840899999998
DRL49,OUT013,2966.30545
FDI05,OUT018,1544.7225799999999
FDY56,OUT045,3454.4367199999992
DRC13,OUT013,2120.2401
NCV29,OUT017,2531.83766
FDR24,OUT049,2506.30423
FDZ34,OUT018,2378.53721
FDP37,OUT035,2028.5261499999997
FDX08,OUT027,5224.099829999999
FDS57,OUT045,2627.04706
NCG18,OUT049,1953.4904899999997
FDK25,OUT018,2342.81704
FDH53,OUT049,2168.14441
DRI59,OUT018,2417.78612
FDA52,OUT046,2512.89565
FDT20,OUT010,321.31507999999997
FDE36,OUT019,388.19469000000004
FDI24,OUT017,2317.84954
FDB28,OUT018,2407.5328
FDV11,OUT017,2745.4928800000002
FDP01,OUT046,2446.8482900000004
FDD34,OUT027,3936.7422400000005
FDJ50,OUT027,3612.83054
FDZ44,OUT013,2045.0047000000002
DRO59,OUT035,1789.6038200000003
DRB48,OUT045,1123.0381499999996
FDR21,OUT018,2345.1140499999997
NCE42,OUT010,457.90395000000007
FDO23,OUT046,2271.1103799999996
NCE30,OUT018,2660.90299
FDQ22,OUT035,1292.88373
FDY01,OUT045,2223.90516
FDS08,OUT017,2276.0373000000004
FDG28,OUT018,2138.91579
FDQ51,OUT018,2201.00164
FDB05,OUT017,3244.97604
FDO56,OUT049,3002.3585199999993
FDE02,OUT018,1887.8093200000003
FDN45,OUT017,3535.13168
FDS09,OUT013,1374.877
